frame.number,frame.time_epoch,ip.src,ip.dst,tcp.time_delta
"148","1720859693.910405704","192.168.68.108","192.168.68.136","0.047310568"
"150","1720859693.910406146","192.168.68.108","192.168.68.136","0.046917905"
"152","1720859693.911468379","192.168.68.108","192.168.68.136","0.047810793"
"154","1720859693.911468894","192.168.68.108","192.168.68.136","0.048551718"
"156","1720859693.918140444","192.168.68.108","192.168.68.136","0.010039469"
"159","1720859693.933839992","192.168.68.108","192.168.68.136","0.015441709"
"160","1720859693.938972993","192.168.68.108","192.168.68.136","0.005133001"
"162","1720859693.942200840","192.168.68.108","192.168.68.136","0.068310158"
"163","1720859693.950852327","192.168.68.108","192.168.68.136","0.011464639"
"164","1720859693.962063060","192.168.68.108","192.168.68.136","0.051579594"
"165","1720859693.962063283","192.168.68.108","192.168.68.136","0.050477912"
"166","1720859693.962063374","192.168.68.108","192.168.68.136","0.051618079"
"167","1720859693.962063451","192.168.68.108","192.168.68.136","0.011211124"
"169","1720859693.969811017","192.168.68.108","192.168.68.136","0.007449405"
"170","1720859693.970823071","192.168.68.108","192.168.68.136","0.008759788"
"172","1720859693.975141611","192.168.68.108","192.168.68.136","0.063460332"
"173","1720859693.983251621","192.168.68.108","192.168.68.136","0.013440604"
"175","1720859694.010572375","192.168.68.108","192.168.68.136","0.027040386"
"176","1720859694.010572738","192.168.68.108","192.168.68.136","0.000000363"
"177","1720859694.011580460","192.168.68.108","192.168.68.136","0.001007722"
"179","1720859694.025332438","192.168.68.108","192.168.68.136","0.012955977"
"180","1720859694.036295882","192.168.68.108","192.168.68.136","0.010963444"
"182","1720859694.043622227","192.168.68.108","192.168.68.136","0.007007784"
"183","1720859694.053180292","192.168.68.108","192.168.68.136","0.009558065"
"185","1720859694.070131206","192.168.68.108","192.168.68.136","0.016631060"
"186","1720859694.088863617","192.168.68.108","192.168.68.136","0.018732411"
"187","1720859694.088863873","192.168.68.108","192.168.68.136","0.000000256"
"189","1720859694.093923544","192.168.68.108","192.168.68.136","0.003973199"
"190","1720859694.104625614","192.168.68.108","192.168.68.136","0.010702070"
"192","1720859694.115196813","192.168.68.108","192.168.68.136","0.010247831"
"193","1720859694.125637342","192.168.68.108","192.168.68.136","0.010440529"
"195","1720859694.137576529","192.168.68.108","192.168.68.136","0.011610013"
"196","1720859694.146466319","192.168.68.108","192.168.68.136","0.008889790"
"198","1720859694.159086671","192.168.68.108","192.168.68.136","0.012310137"
"199","1720859694.166620744","192.168.68.108","192.168.68.136","0.007534073"
"201","1720859694.178458577","192.168.68.108","192.168.68.136","0.011439239"
"202","1720859694.187896698","192.168.68.108","192.168.68.136","0.009438121"
"204","1720859694.225118458","192.168.68.108","192.168.68.136","0.036905833"
"205","1720859694.225118784","192.168.68.108","192.168.68.136","0.000000326"
"206","1720859694.225118876","192.168.68.108","192.168.68.136","0.000000092"
"208","1720859694.230725101","192.168.68.108","192.168.68.136","0.003822087"
"209","1720859694.240510296","192.168.68.108","192.168.68.136","0.009785195"
"211","1720859694.249716378","192.168.68.108","192.168.68.136","0.008885745"
"212","1720859694.260156172","192.168.68.108","192.168.68.136","0.010439794"
"214","1720859694.270677465","192.168.68.108","192.168.68.136","0.010272513"
"215","1720859694.281398021","192.168.68.108","192.168.68.136","0.010720556"
"218","1720859694.293064761","192.168.68.108","192.168.68.136","0.011356257"
"219","1720859694.301563102","192.168.68.108","192.168.68.136","0.008498341"
"221","1720859694.314536639","192.168.68.108","192.168.68.136","0.012662532"
"222","1720859694.321931062","192.168.68.108","192.168.68.136","0.007394423"
"224","1720859694.338001052","192.168.68.108","192.168.68.136","0.015653063"
"225","1720859694.343481535","192.168.68.108","192.168.68.136","0.005480483"
"227","1720859694.353181611","192.168.68.108","192.168.68.136","0.009357200"
"228","1720859694.363611348","192.168.68.108","192.168.68.136","0.010429737"
"230","1720859694.373923936","192.168.68.108","192.168.68.136","0.010039539"
"231","1720859694.383618912","192.168.68.108","192.168.68.136","0.009694976"
"233","1720859694.398521320","192.168.68.108","192.168.68.136","0.014538883"
"234","1720859694.404864177","192.168.68.108","192.168.68.136","0.006342857"
"236","1720859694.416446443","192.168.68.108","192.168.68.136","0.011322191"
"237","1720859694.428090773","192.168.68.108","192.168.68.136","0.011644330"
"239","1720859694.444436206","192.168.68.108","192.168.68.136","0.015539018"
"240","1720859694.445737732","192.168.68.108","192.168.68.136","0.001301526"
"242","1720859694.456364906","192.168.68.108","192.168.68.136","0.009384926"
"243","1720859694.466229041","192.168.68.108","192.168.68.136","0.009864135"
"245","1720859694.478965717","192.168.68.108","192.168.68.136","0.012423307"
"246","1720859694.489526734","192.168.68.108","192.168.68.136","0.010561017"
"248","1720859694.501283025","192.168.68.108","192.168.68.136","0.011512516"
"249","1720859694.508719296","192.168.68.108","192.168.68.136","0.007436271"
"251","1720859694.519702426","192.168.68.108","192.168.68.136","0.010684865"
"252","1720859694.530408337","192.168.68.108","192.168.68.136","0.010705911"
"254","1720859694.548315217","192.168.68.108","192.168.68.136","0.017586629"
"255","1720859694.549491172","192.168.68.108","192.168.68.136","0.001175955"
"257","1720859694.560016394","192.168.68.108","192.168.68.136","0.010255966"
"258","1720859694.570427252","192.168.68.108","192.168.68.136","0.010410858"
"260","1720859694.582343713","192.168.68.108","192.168.68.136","0.011597588"
"261","1720859694.590817254","192.168.68.108","192.168.68.136","0.008473541"
"263","1720859694.603772343","192.168.68.108","192.168.68.136","0.012644913"
"264","1720859694.611404218","192.168.68.108","192.168.68.136","0.007631875"
"266","1720859694.621875436","192.168.68.108","192.168.68.136","0.010124658"
"267","1720859694.633310838","192.168.68.108","192.168.68.136","0.011435402"
"269","1720859694.645179369","192.168.68.108","192.168.68.136","0.011532256"
"270","1720859694.656194128","192.168.68.108","192.168.68.136","0.011014759"
"272","1720859694.663442605","192.168.68.108","192.168.68.136","0.006938538"
"273","1720859694.673914971","192.168.68.108","192.168.68.136","0.010472366"
"275","1720859694.684548389","192.168.68.108","192.168.68.136","0.010308214"
"276","1720859694.696249479","192.168.68.108","192.168.68.136","0.011701090"
"278","1720859694.709603671","192.168.68.108","192.168.68.136","0.013035129"
"279","1720859694.715791766","192.168.68.108","192.168.68.136","0.006188095"
"281","1720859694.727205713","192.168.68.108","192.168.68.136","0.011112093"
"282","1720859694.736658457","192.168.68.108","192.168.68.136","0.009452744"
"284","1720859694.747335296","192.168.68.108","192.168.68.136","0.010355668"
"285","1720859694.758606944","192.168.68.108","192.168.68.136","0.011271648"
"287","1720859694.768229456","192.168.68.108","192.168.68.136","0.009287799"
"288","1720859694.777748198","192.168.68.108","192.168.68.136","0.009518742"
"290","1720859694.818388090","192.168.68.108","192.168.68.136","0.040335292"
"291","1720859694.818388551","192.168.68.108","192.168.68.136","0.000000461"
"292","1720859694.818388676","192.168.68.108","192.168.68.136","0.000000125"
"293","1720859694.818388758","192.168.68.108","192.168.68.136","0.000000082"
"295","1720859694.828972210","192.168.68.108","192.168.68.136","0.008410282"
"296","1720859694.839627217","192.168.68.108","192.168.68.136","0.010655007"
"298","1720859694.849668266","192.168.68.108","192.168.68.136","0.009886590"
"299","1720859694.862491423","192.168.68.108","192.168.68.136","0.012823157"
"301","1720859694.871056971","192.168.68.108","192.168.68.136","0.008439632"
"302","1720859694.871057154","192.168.68.108","192.168.68.136",
"304","1720859694.876278490","192.168.68.108","192.168.68.136",
"306","1720859694.880694920","192.168.68.108","192.168.68.136",
"308","1720859694.880694984","192.168.68.108","192.168.68.136","0.009638013"
"310","1720859694.885118855","192.168.68.108","192.168.68.136",
"312","1720859694.891409120","192.168.68.108","192.168.68.136","0.010583618"
"313","1720859694.891409299","192.168.68.108","192.168.68.136",
"315","1720859694.895651231","192.168.68.108","192.168.68.136","0.953450391"
"322","1720859694.897218793","192.168.68.108","192.168.68.136","0.000000000"
"324","1720859694.903382389","192.168.68.108","192.168.68.136","0.006835793"
"325","1720859694.906810227","192.168.68.108","192.168.68.136","0.009574959"
"326","1720859694.910344133","192.168.68.108","192.168.68.136","0.003533906"
"329","1720859694.912333819","192.168.68.108","192.168.68.136","0.008951430"
"331","1720859694.916123802","192.168.68.108","192.168.68.136","0.005271139"
"332","1720859694.916124584","192.168.68.108","192.168.68.136","0.019616046"
"336","1720859694.924667698","192.168.68.108","192.168.68.136","0.005942044"
"337","1720859694.933193563","192.168.68.108","192.168.68.136","0.008525865"
"339","1720859694.942937333","192.168.68.108","192.168.68.136","0.025534876"
"340","1720859694.942937809","192.168.68.108","192.168.68.136","0.009542730"
"341","1720859694.942937851","192.168.68.108","192.168.68.136","0.000000042"
"342","1720859694.953767109","192.168.68.108","192.168.68.136","0.057184975"
"344","1720859694.953768495","192.168.68.108","192.168.68.136","0.057361606"
"346","1720859694.953768520","192.168.68.108","192.168.68.136","0.057300847"
"348","1720859694.953768547","192.168.68.108","192.168.68.136","0.057151654"
"350","1720859694.953768573","192.168.68.108","192.168.68.136","0.010830722"
"352","1720859694.964981345","192.168.68.108","192.168.68.136","0.010410707"
"353","1720859694.974290328","192.168.68.108","192.168.68.136","0.009308983"
"355","1720859694.984763008","192.168.68.108","192.168.68.136","0.066092673"
"356","1720859694.984763207","192.168.68.108","192.168.68.136","0.010343114"
"357","1720859694.995341349","192.168.68.108","192.168.68.136","0.010578142"
"359","1720859695.003241885","192.168.68.108","192.168.68.136","0.049363975"
"360","1720859695.003242071","192.168.68.108","192.168.68.136","0.049277979"
"361","1720859695.006220232","192.168.68.108","192.168.68.136","0.010724350"
"362","1720859695.016766545","192.168.68.108","192.168.68.136","0.010546313"
"363","1720859695.016767013","192.168.68.108","192.168.68.136","0.062774525"
"364","1720859695.016767042","192.168.68.108","192.168.68.136","0.062785643"
"366","1720859695.026717743","192.168.68.108","192.168.68.136","0.009597892"
"367","1720859695.036955386","192.168.68.108","192.168.68.136","0.010237643"
"369","1720859695.047490101","192.168.68.108","192.168.68.136","0.009895652"
"370","1720859695.059435494","192.168.68.108","192.168.68.136","0.011945393"
"372","1720859695.068679665","192.168.68.108","192.168.68.136","0.008713977"
"373","1720859695.078328493","192.168.68.108","192.168.68.136","0.009648828"
"375","1720859695.089632302","192.168.68.108","192.168.68.136","0.010557274"
"376","1720859695.099709487","192.168.68.108","192.168.68.136","0.010077185"
"378","1720859695.110131731","192.168.68.108","192.168.68.136","0.010283840"
"379","1720859695.121286820","192.168.68.108","192.168.68.136","0.011155089"
"381","1720859695.133355133","192.168.68.108","192.168.68.136","0.011922013"
"382","1720859695.141991501","192.168.68.108","192.168.68.136","0.008636368"
"384","1720859695.151593964","192.168.68.108","192.168.68.136","0.009426909"
"385","1720859695.162847827","192.168.68.108","192.168.68.136","0.011253863"
"387","1720859695.172753865","192.168.68.108","192.168.68.136","0.009588661"
"388","1720859695.182615957","192.168.68.108","192.168.68.136","0.009862092"
"390","1720859695.196035960","192.168.68.108","192.168.68.136","0.013099800"
"391","1720859695.203721398","192.168.68.108","192.168.68.136","0.007685438"
"393","1720859695.213183476","192.168.68.108","192.168.68.136","0.009160653"
"394","1720859695.224199224","192.168.68.108","192.168.68.136","0.011015748"
"396","1720859695.235844470","192.168.68.108","192.168.68.136","0.010935031"
"397","1720859695.247049661","192.168.68.108","192.168.68.136","0.011205191"
"399","1720859695.259631347","192.168.68.108","192.168.68.136","0.011966186"
"400","1720859695.266286730","192.168.68.108","192.168.68.136","0.006655383"
"402","1720859695.277186267","192.168.68.108","192.168.68.136","0.010580055"
"403","1720859695.287151867","192.168.68.108","192.168.68.136","0.009965600"
"405","1720859695.299300601","192.168.68.108","192.168.68.136","0.011837978"
"407","1720859695.310526431","192.168.68.108","192.168.68.136","0.011225830"
"409","1720859695.321867700","192.168.68.108","192.168.68.136","0.011043219"
"410","1720859695.329269289","192.168.68.108","192.168.68.136","0.007401589"
"412","1720859695.339937605","192.168.68.108","192.168.68.136","0.010436301"
"413","1720859695.349083031","192.168.68.108","192.168.68.136","0.009145426"
"416","1720859695.360489035","192.168.68.108","192.168.68.136","0.010109782"
"418","1720859695.369917676","192.168.68.108","192.168.68.136","0.009428641"
"421","1720859695.379766722","192.168.68.108","192.168.68.136","0.009546717"
"422","1720859695.422534745","192.168.68.108","192.168.68.136","0.042768023"
"424","1720859695.422534962","192.168.68.108","192.168.68.136","-0.000030269"
"425","1720859695.422534987","192.168.68.108","192.168.68.136","0.000000025"
"426","1720859695.422535012","192.168.68.108","192.168.68.136","0.000000025"
"428","1720859695.433278194","192.168.68.108","192.168.68.136","0.009642617"
"430","1720859695.443124180","192.168.68.108","192.168.68.136","0.009845986"
"432","1720859695.452648412","192.168.68.108","192.168.68.136","0.008785324"
"433","1720859695.463366418","192.168.68.108","192.168.68.136","0.010718006"
"435","1720859695.475798738","192.168.68.108","192.168.68.136","0.011801993"
"436","1720859695.483321729","192.168.68.108","192.168.68.136","0.007522991"
"438","1720859695.494908661","192.168.68.108","192.168.68.136","0.011395099"
"439","1720859695.504619477","192.168.68.108","192.168.68.136","0.009710816"
"441","1720859695.518606181","192.168.68.108","192.168.68.136","0.013805267"
"443","1720859695.525237025","192.168.68.108","192.168.68.136","0.006630844"
"445","1720859695.535062955","192.168.68.108","192.168.68.136","0.009574990"
"446","1720859695.546745977","192.168.68.108","192.168.68.136","0.011683022"
"449","1720859695.556029454","192.168.68.108","192.168.68.136","0.008956376"
"450","1720859695.566728634","192.168.68.108","192.168.68.136","0.010699180"
"452","1720859695.577646265","192.168.68.108","192.168.68.136","0.010637793"
"453","1720859695.588416181","192.168.68.108","192.168.68.136","0.010769916"
"455","1720859695.598856499","192.168.68.108","192.168.68.136","0.010135404"
"456","1720859695.608414302","192.168.68.108","192.168.68.136","0.009557803"
"458","1720859695.621011580","192.168.68.108","192.168.68.136","0.012278102"
"459","1720859695.629382961","192.168.68.108","192.168.68.136","0.008371381"
"461","1720859695.641400754","192.168.68.108","192.168.68.136","0.011694250"
"462","1720859695.649841183","192.168.68.108","192.168.68.136","0.008440429"
"464","1720859695.660217347","192.168.68.108","192.168.68.136","0.010070494"
"465","1720859695.669761986","192.168.68.108","192.168.68.136","0.009544639"
"467","1720859695.680431193","192.168.68.108","192.168.68.136","0.010351048"
"468","1720859695.691734503","192.168.68.108","192.168.68.136","0.011303310"
"470","1720859695.702355969","192.168.68.108","192.168.68.136","0.010301637"
"471","1720859695.711691488","192.168.68.108","192.168.68.136","0.009335519"
"473","1720859695.724479923","192.168.68.108","192.168.68.136","0.012482273"
"474","1720859695.734255912","192.168.68.108","192.168.68.136","0.009775989"
"477","1720859695.742770594","192.168.68.108","192.168.68.136","0.008196915"
"478","1720859695.753360432","192.168.68.108","192.168.68.136","0.010589838"
"480","1720859695.766383533","192.168.68.108","192.168.68.136","0.012703124"
"481","1720859695.774703779","192.168.68.108","192.168.68.136","0.008320246"
"483","1720859695.787434937","192.168.68.108","192.168.68.136","0.012460172"
"484","1720859695.794421362","192.168.68.108","192.168.68.136","0.006986425"
"486","1720859695.804744752","192.168.68.108","192.168.68.136","0.009993387"
"487","1720859695.817344308","192.168.68.108","192.168.68.136","0.012599556"
"489","1720859695.825480953","192.168.68.108","192.168.68.136","0.007908308"
"490","1720859695.836190204","192.168.68.108","192.168.68.136","0.010709251"
"492","1720859695.848747196","192.168.68.108","192.168.68.136","0.012395144"
"493","1720859695.860720029","192.168.68.108","192.168.68.136","0.011972833"
"495","1720859695.866959446","192.168.68.108","192.168.68.136","0.006034700"
"496","1720859695.878823604","192.168.68.108","192.168.68.136","0.011864158"
"498","1720859695.888142531","192.168.68.108","192.168.68.136","0.009025903"
"499","1720859695.899794378","192.168.68.108","192.168.68.136","0.011651847"
"501","1720859695.908965585","192.168.68.108","192.168.68.136","0.008858712"
"502","1720859695.915667787","192.168.68.108","192.168.68.136",
"504","1720859695.919691466","192.168.68.108","192.168.68.136","0.010725881"
"506","1720859695.921562703","192.168.68.108","192.168.68.136",
"508","1720859695.927772836","192.168.68.108","192.168.68.136",
"510","1720859695.929667420","192.168.68.108","192.168.68.136","0.009669324"
"511","1720859695.934876358","192.168.68.108","192.168.68.136",
"513","1720859695.940067875","192.168.68.108","192.168.68.136","0.010400455"
"515","1720859695.941060968","192.168.68.108","192.168.68.136",
"517","1720859695.948632569","192.168.68.108","192.168.68.136","0.963869561"
"518","1720859695.948632829","192.168.68.108","192.168.68.136","0.000000000"
"526","1720859695.951757630","192.168.68.108","192.168.68.136","0.000680154"
"527","1720859695.960030799","192.168.68.108","192.168.68.136","0.011343331"
"529","1720859695.960031472","192.168.68.108","192.168.68.136","0.008273842"
"532","1720859695.968984993","192.168.68.108","192.168.68.136","0.006629044"
"533","1720859695.968985235","192.168.68.108","192.168.68.136","0.018035816"
"535","1720859695.970909510","192.168.68.108","192.168.68.136","0.010058368"
"538","1720859695.980576294","192.168.68.108","192.168.68.136","0.009066574"
"539","1720859695.983057784","192.168.68.108","192.168.68.136","0.013190903"
"540","1720859695.991498509","192.168.68.108","192.168.68.136","0.010922215"
"542","1720859696.000930000","192.168.68.108","192.168.68.136","0.009029925"
"543","1720859696.008723310","192.168.68.108","192.168.68.136","0.057527090"
"545","1720859696.008723884","192.168.68.108","192.168.68.136","0.057411806"
"547","1720859696.008724074","192.168.68.108","192.168.68.136","0.058090474"
"549","1720859696.008724177","192.168.68.108","192.168.68.136","0.057912307"
"551","1720859696.013947106","192.168.68.108","192.168.68.136","0.013017106"
"553","1720859696.022852608","192.168.68.108","192.168.68.136","0.008491735"
"554","1720859696.033296767","192.168.68.108","192.168.68.136","0.010444159"
"556","1720859696.041693230","192.168.68.108","192.168.68.136","0.070312659"
"557","1720859696.042678358","192.168.68.108","192.168.68.136","0.009056071"
"558","1720859696.054209873","192.168.68.108","192.168.68.136","0.011531515"
"560","1720859696.065860978","192.168.68.108","192.168.68.136","0.011298847"
"561","1720859696.071778054","192.168.68.108","192.168.68.136","0.062835074"
"562","1720859696.071778319","192.168.68.108","192.168.68.136","0.062859656"
"563","1720859696.071778441","192.168.68.108","192.168.68.136","0.062971617"
"564","1720859696.071778533","192.168.68.108","192.168.68.136","0.062889986"
"565","1720859696.073481620","192.168.68.108","192.168.68.136","0.007620642"
"567","1720859696.083913765","192.168.68.108","192.168.68.136","0.010098830"
"568","1720859696.094285817","192.168.68.108","192.168.68.136","0.010372052"
"570","1720859696.106253484","192.168.68.108","192.168.68.136","0.011656369"
"571","1720859696.143206751","192.168.68.108","192.168.68.136","0.036953267"
"573","1720859696.143207162","192.168.68.108","192.168.68.136","-0.000027252"
"574","1720859696.143207253","192.168.68.108","192.168.68.136","0.000000091"
"576","1720859696.147671868","192.168.68.108","192.168.68.136","0.002739820"
"577","1720859696.157666906","192.168.68.108","192.168.68.136","0.009995038"
"579","1720859696.167885527","192.168.68.108","192.168.68.136","0.009879242"
"580","1720859696.179766806","192.168.68.108","192.168.68.136","0.011881279"
"582","1720859696.187761299","192.168.68.108","192.168.68.136","0.007681394"
"583","1720859696.198799055","192.168.68.108","192.168.68.136","0.011037756"
"585","1720859696.209736899","192.168.68.108","192.168.68.136","0.010617914"
"586","1720859696.219082889","192.168.68.108","192.168.68.136","0.009345990"
"588","1720859696.231059034","192.168.68.108","192.168.68.136","0.011660234"
"589","1720859696.245775065","192.168.68.108","192.168.68.136","0.014716031"
"591","1720859696.250376692","192.168.68.108","192.168.68.136","0.004283253"
"592","1720859696.260641479","192.168.68.108","192.168.68.136","0.010264787"
"594","1720859696.271218626","192.168.68.108","192.168.68.136","0.010232131"
"595","1720859696.282243115","192.168.68.108","192.168.68.136","0.011024489"
"597","1720859696.291820280","192.168.68.108","192.168.68.136","0.009268165"
"598","1720859696.301722261","192.168.68.108","192.168.68.136","0.009901981"
"600","1720859696.313365479","192.168.68.108","192.168.68.136","0.011337668"
"601","1720859696.322588807","192.168.68.108","192.168.68.136","0.009223328"
"604","1720859696.333384659","192.168.68.108","192.168.68.136","0.010497658"
"605","1720859696.343202426","192.168.68.108","192.168.68.136","0.009817767"
"607","1720859696.353972599","192.168.68.108","192.168.68.136","0.010474371"
"608","1720859696.364460387","192.168.68.108","192.168.68.136","0.010487788"
"610","1720859696.375107286","192.168.68.108","192.168.68.136","0.010327232"
"611","1720859696.385233191","192.168.68.108","192.168.68.136","0.010125905"
"613","1720859696.395777122","192.168.68.108","192.168.68.136","0.010224943"
"614","1720859696.405943432","192.168.68.108","192.168.68.136","0.010166310"
"616","1720859696.416446689","192.168.68.108","192.168.68.136","0.010174248"
"617","1720859696.426871010","192.168.68.108","192.168.68.136","0.010424321"
"619","1720859696.440225461","192.168.68.108","192.168.68.136","0.013034639"
"620","1720859696.448540021","192.168.68.108","192.168.68.136","0.008314560"
"622","1720859696.459760398","192.168.68.108","192.168.68.136","0.010925323"
"623","1720859696.469571498","192.168.68.108","192.168.68.136","0.009811100"
"625","1720859696.479224297","192.168.68.108","192.168.68.136","0.009336698"
"626","1720859696.489077364","192.168.68.108","192.168.68.136","0.009853067"
"628","1720859696.505664112","192.168.68.108","192.168.68.136","0.016387197"
"629","1720859696.510076619","192.168.68.108","192.168.68.136","0.004412507"
"631","1720859696.520765832","192.168.68.108","192.168.68.136","0.010528133"
"632","1720859696.531170662","192.168.68.108","192.168.68.136","0.010404830"
"634","1720859696.542734545","192.168.68.108","192.168.68.136","0.011194675"
"635","1720859696.554623383","192.168.68.108","192.168.68.136","0.011888838"
"637","1720859696.563160447","192.168.68.108","192.168.68.136","0.008103413"
"638","1720859696.572500411","192.168.68.108","192.168.68.136","0.009339964"
"640","1720859696.582162364","192.168.68.108","192.168.68.136","0.009359083"
"641","1720859696.595949844","192.168.68.108","192.168.68.136","0.013787480"
